id	kind	path	symbol	status	notes
vendor/huh/form.go:ErrTimeoutUnsupported	var	vendor/huh/form.go	ErrTimeoutUnsupported	ported	idiomatic Crystal match found via TimeoutUnsupportedError
vendor/huh/form.go:ErrUserAborted	var	vendor/huh/form.go	ErrUserAborted	ported	idiomatic Crystal match found via UserAbortedError
vendor/huh/form.go:Field	type	vendor/huh/form.go	Field	ported	symbol match found in Crystal source/spec/examples
vendor/huh/form.go:FieldPosition	type	vendor/huh/form.go	FieldPosition	ported	symbol match found in Crystal source/spec/examples
vendor/huh/form.go:Form	type	vendor/huh/form.go	Form	ported	symbol match found in Crystal source/spec/examples
vendor/huh/form.go:FormState	type	vendor/huh/form.go	FormState	ported	symbol match found in Crystal source/spec/examples
vendor/huh/form.go:NewForm	func	vendor/huh/form.go	NewForm	ported	idiomatic Crystal match found via new_form
vendor/huh/group.go:Group	type	vendor/huh/group.go	Group	ported	symbol match found in Crystal source/spec/examples
vendor/huh/group.go:NewGroup	func	vendor/huh/group.go	NewGroup	ported	idiomatic Crystal match found via new_group
vendor/huh/group.go:NextField	func	vendor/huh/group.go	NextField	ported	idiomatic Crystal match found via next_field
vendor/huh/group.go:PrevField	func	vendor/huh/group.go	PrevField	ported	idiomatic Crystal match found via prev_field
vendor/huh/huh_test.go:TestAbort	func	vendor/huh/huh_test.go	TestAbort	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestAccessibleFields	func	vendor/huh/huh_test.go	TestAccessibleFields	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestAccessibleForm	func	vendor/huh/huh_test.go	TestAccessibleForm	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestConfirm	func	vendor/huh/huh_test.go	TestConfirm	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestDescriptionRowRender	func	vendor/huh/huh_test.go	TestDescriptionRowRender	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestDynamicHelp	func	vendor/huh/huh_test.go	TestDynamicHelp	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestFile	func	vendor/huh/huh_test.go	TestFile	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestForm	func	vendor/huh/huh_test.go	TestForm	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestGetFocusedField	func	vendor/huh/huh_test.go	TestGetFocusedField	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestHideGroup	func	vendor/huh/huh_test.go	TestHideGroup	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestHideGroupLastAndFirstGroupsNotHidden	func	vendor/huh/huh_test.go	TestHideGroupLastAndFirstGroupsNotHidden	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestInlineInput	func	vendor/huh/huh_test.go	TestInlineInput	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestInput	func	vendor/huh/huh_test.go	TestInput	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestInputPasswordAccessible	func	vendor/huh/huh_test.go	TestInputPasswordAccessible	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestMultiSelect	func	vendor/huh/huh_test.go	TestMultiSelect	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestMultiSelectFiltering	func	vendor/huh/huh_test.go	TestMultiSelectFiltering	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestNoTitleOrDescription	func	vendor/huh/huh_test.go	TestNoTitleOrDescription	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestNote	func	vendor/huh/huh_test.go	TestNote	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestPrevGroup	func	vendor/huh/huh_test.go	TestPrevGroup	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestSelect	func	vendor/huh/huh_test.go	TestSelect	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestSelectDynamic	func	vendor/huh/huh_test.go	TestSelectDynamic	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestSelectPageNavigation	func	vendor/huh/huh_test.go	TestSelectPageNavigation	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestSkip	func	vendor/huh/huh_test.go	TestSkip	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestText	func	vendor/huh/huh_test.go	TestText	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestTextExternalEditorHidden	func	vendor/huh/huh_test.go	TestTextExternalEditorHidden	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestTimeout	func	vendor/huh/huh_test.go	TestTimeout	ported	symbol match found in Crystal source/spec/examples
vendor/huh/huh_test.go:TestTitleRowRender	func	vendor/huh/huh_test.go	TestTitleRowRender	ported	symbol match found in Crystal source/spec/examples
vendor/huh/internal/accessibility/accessibility.go:PromptBool	func	vendor/huh/internal/accessibility/accessibility.go	PromptBool	ported	symbol match found in Crystal source/spec/examples
vendor/huh/internal/accessibility/accessibility.go:PromptInt	func	vendor/huh/internal/accessibility/accessibility.go	PromptInt	ported	symbol match found in Crystal source/spec/examples
vendor/huh/internal/accessibility/accessibility.go:PromptPassword	func	vendor/huh/internal/accessibility/accessibility.go	PromptPassword	ported	symbol match found in Crystal source/spec/examples
vendor/huh/internal/accessibility/accessibility.go:PromptString	func	vendor/huh/internal/accessibility/accessibility.go	PromptString	ported	symbol match found in Crystal source/spec/examples
vendor/huh/internal/selector/selector.go:NewSelector	func	vendor/huh/internal/selector/selector.go	NewSelector	ported	idiomatic Crystal match found via Selector
vendor/huh/internal/selector/selector.go:Selector	type	vendor/huh/internal/selector/selector.go	Selector	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:ConfirmKeyMap	type	vendor/huh/keymap.go	ConfirmKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:FilePickerKeyMap	type	vendor/huh/keymap.go	FilePickerKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:InputKeyMap	type	vendor/huh/keymap.go	InputKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:KeyMap	type	vendor/huh/keymap.go	KeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:MultiSelectKeyMap	type	vendor/huh/keymap.go	MultiSelectKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:NewDefaultKeyMap	func	vendor/huh/keymap.go	NewDefaultKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:NoteKeyMap	type	vendor/huh/keymap.go	NoteKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:SelectKeyMap	type	vendor/huh/keymap.go	SelectKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/keymap.go:TextKeyMap	type	vendor/huh/keymap.go	TextKeyMap	ported	symbol match found in Crystal source/spec/examples
vendor/huh/layout.go:Layout	type	vendor/huh/layout.go	Layout	ported	symbol match found in Crystal source/spec/examples
vendor/huh/layout.go:LayoutColumns	func	vendor/huh/layout.go	LayoutColumns	ported	symbol match found in Crystal source/spec/examples
vendor/huh/layout.go:LayoutDefault	var	vendor/huh/layout.go	LayoutDefault	ported	symbol match found in Crystal source/spec/examples
vendor/huh/layout.go:LayoutGrid	func	vendor/huh/layout.go	LayoutGrid	ported	symbol match found in Crystal source/spec/examples
vendor/huh/layout.go:LayoutStack	var	vendor/huh/layout.go	LayoutStack	ported	symbol match found in Crystal source/spec/examples
vendor/huh/option.go:NewOption	func	vendor/huh/option.go	NewOption	ported	symbol match found in Crystal source/spec/examples
vendor/huh/option.go:NewOptions	func	vendor/huh/option.go	NewOptions	ported	symbol match found in Crystal source/spec/examples
vendor/huh/option.go:Option	type	vendor/huh/option.go	Option	ported	symbol match found in Crystal source/spec/examples
vendor/huh/run.go:Run	func	vendor/huh/run.go	Run	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner.go:New	func	vendor/huh/spinner/spinner.go	New	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner.go:Spinner	type	vendor/huh/spinner/spinner.go	Spinner	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner.go:Type	type	vendor/huh/spinner/spinner.go	Type	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestNewSpinner	func	vendor/huh/spinner/spinner_test.go	TestNewSpinner	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerContextCancellation	func	vendor/huh/spinner/spinner_test.go	TestSpinnerContextCancellation	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerContextCancellationWhileRunning	func	vendor/huh/spinner/spinner_test.go	TestSpinnerContextCancellationWhileRunning	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerDifferentTypes	func	vendor/huh/spinner/spinner_test.go	TestSpinnerDifferentTypes	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerInit	func	vendor/huh/spinner/spinner_test.go	TestSpinnerInit	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerSimple	func	vendor/huh/spinner/spinner_test.go	TestSpinnerSimple	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerStyleMethods	func	vendor/huh/spinner/spinner_test.go	TestSpinnerStyleMethods	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerType	func	vendor/huh/spinner/spinner_test.go	TestSpinnerType	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerUpdate	func	vendor/huh/spinner/spinner_test.go	TestSpinnerUpdate	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerView	func	vendor/huh/spinner/spinner_test.go	TestSpinnerView	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerWithActionError	func	vendor/huh/spinner/spinner_test.go	TestSpinnerWithActionError	ported	symbol match found in Crystal source/spec/examples
vendor/huh/spinner/spinner_test.go:TestSpinnerWithContextAndAction	func	vendor/huh/spinner/spinner_test.go	TestSpinnerWithContextAndAction	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:FieldStyles	type	vendor/huh/theme.go	FieldStyles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:FormStyles	type	vendor/huh/theme.go	FormStyles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:GroupStyles	type	vendor/huh/theme.go	GroupStyles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:TextInputStyles	type	vendor/huh/theme.go	TextInputStyles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:Theme	type	vendor/huh/theme.go	Theme	ported	symbol match found in Crystal source/spec/examples
vendor/huh/theme.go:ThemeBase	func	vendor/huh/theme.go	ThemeBase	ported	idiomatic Crystal match found via theme_base
vendor/huh/theme.go:ThemeBase16	func	vendor/huh/theme.go	ThemeBase16	ported	idiomatic Crystal match found via theme_base16
vendor/huh/theme.go:ThemeCatppuccin	func	vendor/huh/theme.go	ThemeCatppuccin	ported	idiomatic Crystal match found via theme_catppuccin
vendor/huh/theme.go:ThemeCharm	func	vendor/huh/theme.go	ThemeCharm	ported	idiomatic Crystal match found via theme_charm
vendor/huh/theme.go:ThemeDracula	func	vendor/huh/theme.go	ThemeDracula	ported	idiomatic Crystal match found via theme_dracula
vendor/huh/validate.go:ValidateLength	func	vendor/huh/validate.go	ValidateLength	ported	idiomatic Crystal match found via validate_length
vendor/huh/validate.go:ValidateMaxLength	func	vendor/huh/validate.go	ValidateMaxLength	ported	idiomatic Crystal match found via validate_max_length
vendor/huh/validate.go:ValidateMinLength	func	vendor/huh/validate.go	ValidateMinLength	ported	idiomatic Crystal match found via validate_min_length
vendor/huh/validate.go:ValidateNotEmpty	func	vendor/huh/validate.go	ValidateNotEmpty	ported	idiomatic Crystal match found via validate_not_empty
vendor/huh/validate.go:ValidateOneOf	func	vendor/huh/validate.go	ValidateOneOf	ported	idiomatic Crystal match found via validate_one_of
